Provinsi,Indeks Kualitas Air
DKI Jakarta,43.1
DI Yogyakarta,47.5
Jawa Barat,46.1
Nusa Tenggara Barat,41.8
Bengkulu,48.3
Jawa Tengah,51.4
Kalimantan Tengah,50.4
Papua,53.7
Kalimantan Timur,54.2
Riau,54.5
Sumatera Barat,54.5
Kepulauan Riau,53.5
Kalimantan Barat,52.4
Maluku Utara,52.4
Banten,52.5
Jawa Timur,57.0
Papua Barat,51.3
Sumatera Utara,59.1
Sulawesi Barat,58.1
Sulawesi Selatan,55.4
Nusa Tenggara Timur,60.1
Kepulauan Bangka Belitung,60.1
Papua Tengah,54.1
Gorontalo,58.1
Sulawesi Utara,63.1
Maluku,59.1
Sulawesi Tenggara,59.4
Bali,58.4
Sumatera Selatan,57.0
Lampung,54.0
Papua Barat Daya,56.5
Sumatera Barat,61.6
Nanggroe Aceh Darussalam,57.6
Papua Pegunungan,57.6
Sulawesi Tengah,63.2
Sulawesi Tenggara,62.2
