Provinsi,Indeks Kualitas Udara
Aceh,92.81
Sumatera Utara,92.26
Sumatera Barat,89.66
Riau,92.98
Kepulauan Riau,92.12
Jambi,92.98
Sumatera Selatan,90.25
Bengkulu,90.94
Lampung,92.13
Banten,72.59
DKI Jakarta,83.68
Jawa Barat,87.73
Jawa Tengah,88.09
DI Yogyakarta,92.12
Jawa Timur,92.3
Bali,92.3
NTB,91.43
NTT,92.71
Kalimantan Barat,92.99
Kalimantan Tengah,93.29
Kalimantan Selatan,91.43
Kalimantan Timur,92.71
Kalimantan Utara,96.41
Sulawesi Utara,92.73
Sulawesi Tengah,93.44
Sulawesi Selatan,93.86
Sulawesi Tenggara,92.42
Gorontalo,93.36
Sulawesi Barat,91.46
Maluku,93.88
Maluku Utara,95.79
Papua,96.0
Papua Barat,93.81
Papua Barat Daya,94.86
